recipe_name,ingredients,instructions,prep_time,source
4-Ingredient Baked Chicken Meatballs,1 pound ground chicken | 2/3 cup Italian-flavored bread crumbs | 1/2 cup shredded carrots (optional) | 1/2 cup shredded Parmesan | 1 egg,"Preheat the oven to 400°F and line a rimmed baking sheet with foil, coat with nonstick spray. Mix all ingredients together with clean hands. Roll into 2-tablespoon-size meatballs and place on baking sheet. Bake for 24–26 minutes until golden brown and cooked through.",10 minutes,https://www.yummytoddlerfood.com/baked-chicken-meatballs/
Easy Turkey Wrap,"1 whole wheat flour tortilla (fajita size) | 1–2 tablespoons mayo (or mustard, hummus, guacamole, or butter) | 2 slices turkey lunch meat | 1–2 slices cheese | 1/4 cup shredded lettuce","Place tortilla on a cutting board; warm 15 seconds in microwave if cold. Spread mayo to 1/4 inch from edges. Add cheese and turkey on one side, veggies in the middle. Roll tightly and cut in half or into spirals with a serrated knife.",5 minutes,https://www.yummytoddlerfood.com/easy-turkey-wrap-recipe/
Pizza Muffins (with Veggies!),1½ cups milk | 1 cup grated carrot | 1 cup shredded mozzarella | 1/4 cup grated Parmesan | 1/4 cup melted butter or oil | 1/4 cup diced pepperoni plus 2 tablespoons (optional) | 2 eggs | 1 cup all-purpose flour | 3/4 cup whole wheat flour | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 2½ teaspoons pizza seasoning | 1/2 teaspoon salt,"Preheat oven to 375°F; grease a standard 12-cup muffin tin. Mix milk, carrot, cheeses, butter, pepperoni, and eggs in a bowl. Stir in flours, baking powder, baking soda, pizza seasoning, and salt. Divide batter into muffin tin (heaping 1/4 cup each). Top each with reserved pepperoni. Bake 18–20 minutes until golden and a tester comes out clean. Cool 2–5 minutes before removing.",10 minutes,https://www.yummytoddlerfood.com/pizza-muffins/
Easy Hummus Wrap (to Share with the Kids),1 whole wheat flour tortilla (fajita size) | 1/4 cup hummus | 1–2 slices cheese | 1/4 cup shredded lettuce | 1/4 cup thinly sliced bell pepper | 1/4 cup thinly sliced cucumber,Place wrap on cutting board; warm 15 seconds in microwave if needed. Spread hummus to 1/2 inch from edges. Add cheese and veggies in a line down the middle. Roll as tightly as possible. Cut in half with a serrated knife and serve.,5 minutes,https://www.yummytoddlerfood.com/vegetarian-hummus-wraps/
Veggie Grilled Cheese Sandwich (to Share with the Kids),1 tablespoon unsalted butter | 2 slices sourdough or whole grain bread | 2 slices cheddar cheese | 2 tablespoons mashed sweet potato,"Add butter to a nonstick pan over medium heat. Spread sweet potato onto one bread slice; place cheese on the other. Place both bread slices toppings-side-up in the pan; swirl to coat with butter. Cook 3 minutes. Press the two halves together; cook 3–4 more minutes, flipping until both sides are golden. Cut into halves, sticks, or dice.",5 minutes,https://www.yummytoddlerfood.com/veggie-grilled-cheese-sandwich/
Easiest Homemade Uncrustables,"8 slices soft whole grain bread | About 1–2 tablespoons filling per sandwich (PB&J, sunflower seed butter and jam, cream cheese and jam, or turkey and cheese) | Sandwich sealer or fork","Warm bread 5–10 seconds in microwave. With sealer: stack 2 slices, press outer round to cut circles, add filling, seal with inner press. With fork: cut rounds with cookie cutter, add thin layer of filling, crimp edges firmly with a fork. Serve immediately or freeze in a bag for up to 3 months.",5 minutes,https://www.yummytoddlerfood.com/easiest-homemade-uncrustables/
Easy Pesto Pasta Salad,"1 pound pasta | 1 tablespoon olive oil | 2 cups diced cucumbers | 2 cups halved cherry tomatoes | 14.5-ounce can white cannellini beans, rinsed and drained | 1/2–3/4 cup pesto | Salt to taste","Cook pasta per package directions; drain into a large bowl. Toss with olive oil and let cool slightly. Stir in cucumbers, tomatoes, beans, and pesto (start with 1/2 cup and add more to taste). Season with salt. Serve at room temperature or refrigerate up to 3 days.",20 minutes,https://www.yummytoddlerfood.com/easy-pesto-pasta-salad-recipe/
Easy Pinwheel Sandwiches,TURKEY-CHEESE: 1 whole wheat tortilla | 1 oz deli turkey | 1 oz sliced cheese | 1/4 cup shredded lettuce | 2 tablespoons mayo or mustard || STRAWBERRY-NUTELLA: 1 whole wheat tortilla | 2 tablespoons Nutella | 1/2 cup thinly sliced strawberries || HUMMUS-VEGGIE: 1 whole wheat tortilla | 1/4 cup hummus | 1/4 cup matchstick cucumber,"Place tortilla on cutting board; warm 5–10 seconds in microwave if needed. Spread condiment, nut butter, or hummus. Top with fillings. Roll up tightly from one side. Cut into rounds or halves with a serrated knife.",5 minutes,https://www.yummytoddlerfood.com/pinwheel-sandwiches/
Quick Sandwich Roll Ups (2-Minute School Lunch),"1–2 slices soft sandwich bread | 1 tablespoon peanut butter (or sunflower seed butter, almond butter, cream cheese, or Nutella) | 1 tablespoon jam, jelly, chia jam, or apple butter","Warm bread 5–10 seconds in microwave. Place on cutting board and roll flat with a rolling pin. Spread filling to the edges. Roll up from one long side, keeping it tight. Slice with a serrated knife into ~1-inch rounds. Serve or pack in lunchbox.",5 minutes,https://www.yummytoddlerfood.com/sandwich-roll-ups/
Strawberry Fruit Leather (Oven Method),"3 cups strawberries, stems removed | 1 tablespoon honey or agave (optional)","Preheat oven to 225°F. Blend strawberries until smooth; add honey if needed. Pour onto a Silpat-lined baking sheet and spread into a smooth, even layer. Bake 2–3 hours until dry and no longer sticky. Cool at room temperature at least 2 hours (overnight is best). Peel off mat, place on parchment, cut into strips, and roll up.",20 minutes,https://weelicious.com/strawberr-wee-fruit-leather-program/
Cinnamon Toast Pinwheels,2 pieces sandwich bread | 1 tablespoon butter | 1/4 teaspoon cinnamon | Maple syrup or honey for dipping,Cut crusts off bread in one long piece. Wind each slice into a pinwheel and secure with a toothpick. Melt butter in a sauté pan over medium heat; sprinkle cinnamon in the pan. Add pinwheels and cook 2 minutes per side until golden. Serve with maple syrup or honey.,3 minutes,https://weelicious.com/cinnamon-toast-pinwheels-recipe/
Caprese Wrap,"2 spinach wraps | 2 tablespoons pesto | 1/2 cup cherry tomatoes, chopped | 1/2 cup mozzarella, shredded or chopped",Lay spinach wrap on flat surface. Spread 1 tablespoon pesto over wrap. Sprinkle 1/4 cup chopped tomatoes and 1/4 cup mozzarella over wrap. Roll up like a burrito and slice into coins. Repeat with second wrap.,2 minutes,https://weelicious.com/caprese-wrap/
Protein Balls,"1 cup nut or seed butter (almond, peanut, or sunflower) | 5 dates, pitted | 1/4 cup protein powder | 3/4 cup hemp seeds | 1/4 cup chia seeds",Place all ingredients into a food processor and blend until combined. Roll into balls using 1 tablespoon of mixture per ball. Optional: Drizzle with melted dark chocolate mixed with coconut oil.,5 minutes,https://weelicious.com/protein-balls-recipe/
Roasted Red Bell Pepper Hummus,"15.5-ounce can garbanzo beans, rinsed and drained | 6 ounces roasted red bell peppers (about 1 pepper) | 1 garlic clove | 2 tablespoons tahini | 1 tablespoon lemon juice | 1/2 teaspoon kosher salt","Combine all ingredients in a food processor. Pulse until completely smooth. Taste and adjust seasonings as needed. Serve with pita, veggies, or crackers. Store in fridge up to 5 days.",2 minutes,https://weelicious.com/red-bell-pepper-hummus/
Pizza Roll Ups,"4 slices sandwich bread | 4 mozzarella string cheese sticks (or 1/2 cup shredded mozzarella) | 4 pepperoni, diced (optional) | 1/2 cup marinara sauce, warmed | 1 tablespoon butter",Cut crusts off bread. Roll each slice flat with a rolling pin. Place a cheese stick at one edge; add pepperoni if using. Roll up tightly pressing the seam down. Heat butter in sauté pan over medium heat; cook roll ups seam-side down 1–2 minutes until golden. Continue turning until golden all over. Cut each into 4 pieces if desired; serve with marinara.,5 minutes,https://weelicious.com/grilled-pizza-roll-ups-recipe/
Air Fryer Crispy Cheese Bites,6 mozzarella string cheese sticks | 1/4 cup all-purpose flour | 2 large eggs | 1 cup breadcrumbs or panko | 1 teaspoon Italian herbs | 1 teaspoon salt | Olive oil or cooking spray | Marinara sauce for dipping,"Cut each cheese stick into 4 pieces (24 total). Set up assembly line: flour in one bowl, whisked eggs with 2 teaspoons water in second bowl, breadcrumbs mixed with herbs and salt in third. Coat each cheese cube in flour, then egg, then breadcrumb mixture. Place in air fryer basket; coat with cooking spray. Air fry at 350°F for 8–10 minutes until golden. Serve with dipping sauce.",5 minutes,https://weelicious.com/air-fryer-crispy-cheese-bites-recipe/
Spinach Cake Muffins,"1/2 cup unsweetened applesauce | 1 large egg | 2 teaspoons vanilla extract | 1 cup fresh spinach, packed | 1/3 cup sugar | 3 tablespoons olive, avocado, or canola oil | 1½ cups all-purpose flour | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/2 teaspoon kosher salt","Preheat oven to 350°F. Place applesauce, egg, vanilla, spinach, sugar, and oil in a food processor and puree. Combine dry ingredients in a separate bowl. Pour spinach puree into a large mixing bowl. Slowly mix dry ingredients into wet until combined. Scoop batter into a greased muffin tin, filling each cup 2/3 full. Bake 18–20 minutes for regular or 12 minutes for mini muffins.",3 minutes,https://weelicious.com/spinach-cake-muffins/
Spinach Pancakes,1 cup packed fresh spinach | 1 cup buttermilk | 1 large egg | 1 tablespoon oil | 1 cup all-purpose flour | 1 tablespoon sugar | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/2 teaspoon kosher salt,"Blend spinach, buttermilk, egg, and oil until smooth. In a separate bowl, whisk together flour, sugar, baking powder, baking soda, and salt. Whisk wet ingredients into dry until just combined — do not overmix. Heat pan over medium heat and grease with butter or oil. Pour about 1 tablespoon batter per silver-dollar pancake. Cook 2 minutes, flip, cook 1 minute more. Serve warm.",5 minutes,https://weelicious.com/spinach-pancakes-recipe/
Paper Bag Popcorn,"1/4 cup organic popcorn kernels | 1 brown paper lunch bag | Salt, butter, or toppings of choice","Place popcorn kernels in the paper bag. Fold down the top of the bag twice (no staples or tape). Microwave on high for 1.5–2 minutes, keeping an eye on it. Stop when popping slows to 2–3 seconds between pops. Pour into a bowl and sprinkle with salt, butter, or favorite toppings.",1 minute,https://weelicious.com/paper-bag-popcorn-recipe/
Cheese Wafers,"1/2 pound sharp cheddar cheese, grated (about 2 cups) | 5 tablespoons chilled butter, cut into cubes | 1 cup all-purpose flour, plus extra for dusting | Raw pecan halves (optional)","Add cheese, flour, and butter to a food processor and combine (dough may be crumbly but will hold). Shape dough into a thick flat circle on parchment, cover, and refrigerate 1 hour or overnight. Preheat oven to 400°F. Roll dough to 1/4-inch thickness. Cut into shapes with cookie cutters. Place on lined baking sheet; add pecan halves if desired. Bake 12–15 minutes. Cool 2 minutes before removing.",20 minutes,https://weelicious.com/cheese-wafers/
