recipe_name,ingredients,instructions,prep_time,source
Black Bean Lunch Quesadillas,1/4 cup canned black beans (rinsed) | 1/4 teaspoon taco seasoning | 3 tablespoons shredded cheddar cheese | 1  large flour tortilla,"Distribute the shredded cheese on one half of the tortilla. Sprinkle the taco seasoning over the cheese and top with the black beans. Fold the tortilla in half. Heat a large non-stick pan over medium-high heat. Once hot, spray a little cooking spray and place the quesadilla on the hot pan. Grill the first side, cheese-side-down, for 2 minutes, until the bottom is crisp and golden. Use a spatula to flip the quesadilla over and grill it for one more minute on the other side. Remove from the pan onto a cutting board and cut into thirds. Enjoy immediately or pack for school. To pack a quesadilla inside a lunch container, wait 5 minutes until the quesadilla has cooled down to room temperature. Then, place it inside a lunch container along with healthy sides, like fruit and veggies. Refrigerate the lunch until you’re ready to pack it inside an insulated lunch bag and include an ice pack if necessary.",5 minutes,https://www.momables.com/bean-quesadilla-lunch/
Jalapeño Grilled Cheese,4 slices thick sandwich bread | 1 tablespoon butter (for grilling) | 4 slices Cheddar cheese | 1/2-1  jalapeño (seeds removed and sliced),"Place the sliced bread on a flat surface. Butter one side of each slice, flip over. Place a slice of cheese on each unbuttered side. Layer the sliced jalapeño onto 2 slices. Assemble the sandwiches, making sure the buttered sides are facing out. Grease a medium non-stick skillet and heat over medium-high heat. One at a time, grill each sandwich for about 2 to 3 minutes until it’s golden and the cheese has begun to melt on that side. Flip sandwich and grill on the other side for an additional minute or 2 until it’s golden, crispy, and cheese is melted. Serve immediately, or, to pack in a lunchbox, wait for the sandwich to cool to room temperature before packing inside a lunch container. If packing for lunch, add the veggies and additional snacks to the container, but place them in separate compartments to keep the sandwich bread dry. ",10 minutes,https://www.momables.com/jalapeno-grilled-cheese/
Hummus Sandwich with Lettuce &amp; Tomato,2 slices sandwich bread | 2 tablespoons hummus | 1/2  tomato (slices) | 2  large lettuce leaves,"Spread the hummus over each slice of bread. Place a piece of lettuce onto one slice and top it with tomato and the remaining lettuce and bread. Cut the sandwich in half and serve or pack it into a compartmentalized lunch container. If packing the sandwich for lunch, pack fresh fruit and veggies inside a lunch box. Refrigerate until ready to pack inside a lunch bag, with or without an ice pack.",5 minutes,https://www.momables.com/hummus-sandwich/
Classic Peanut Butter Sandwich,2 slices sandwich bread (your favorite) | 2 tablespoons peanut butter (your favorite),"Spread the peanut butter generously on both slices of bread. Up the game by dusting a little cinnamon and a drizzle of honey, if you want! Pack this sandwich for school inside its own compartment of a lunchbox. In another compartment or container, pack fruit, veggies, and your favorite sides. Add an ice pack in the lunch bag if necessary.",5 minutes,https://www.momables.com/peanut-butter-sandwich/
Potato Soup Thermos Lunch,"1  small onion (chopped) | 1 pound yellow potatoes (washed, peeled, and chopped into large chunks) | 8 ounces ham steak (cubed) | 32 ounces low sodium vegetable broth | 2 cups half and half or whole milk (– about 16 ounces) | ½ teaspoon pepper | ¾ cup shredded cheese | 6 slices bacon (cooked and chopped) | 4  green onions (chopped) | 2 tablespoons chopped chives | Sour cream (optional)","Add the onions, yellow potatoes, ham steak, and vegetable broth to the bowl of the Instant Pot. Close the lid and turn the vent valve to sealing. Cook over manual high pressure for 10 minutes, then quick release the pressure. Once the steam has completely released and the pin has dropped on the lid, open and stir in the half and half and pepper. Turn the Instant Pot to sauté and cook the soup for 4 to 5 minutes or until thickened. To serve, ladle the soup into bowl and top with cheese, bacon, green onions, chives, and sour cream, if using. Preheat the thermos container with boiling water. This step is optional, but it helps. Heat the soup in the microwave or stovetop to a piping-hot temperature. Drain the water from the thermos. Fill the thermos with the very hot soup. Close the thermos container and pack it inside a lunch bag.",25 minutes,https://www.momables.com/potato-soup-thermos-lunch/
Pimento Cheese Recipe,8 ounces sharp cheddar cheese (grated*) | 1/4 cup cream cheese (softened) | 3 tablespoons mayonnaise | 1/2 cup jarred pimento peppers or roasted red peppers* | 1/4 teaspoon onion powder | 1/4 teaspoon garlic powder | 1/2 teaspoon red pepper flakes | Pinch salt and pepper,"Grate the block of cheddar cheese and place it in a large bowl. For optimal texture, I recommend not using pre-grated cheese since it contains anti-caking agents and you want the cheese to combine with the other ingredients best. Add the softened cream cheese and mayonnaise to the bowl and with a spatula, press it down onto the cheddar cheese. Drain the pimento liquid and add the pimentos or roasted red peppers to the bowl. Add the seasonings and continue to mix and combine with a spatula, folding the mixture over until the peppers break down into the cheesy mixture and some tidbits are left. Alternatively, for a smooth texture, place everything inside a food processor and pulse a few times to combine the ingredients and then process for about 30 seconds. Transfer the pimento cheese mixture into a lidded container or bowl. Store in the refrigerator for up to 1 week.",5 minutes,https://www.momables.com/pimento-cheese-recipe/
Tzatziki Dipping Bento,2 tablespoons Tzatziki yogurt dip | 1/2 cup cucumber slices | 1/2 cup cherry tomatoes (optional) | 1  hard-boiled egg (peeled) | 1 ounce cheese (sliced) | 2 ounces deli turkey (rolled up) | 2 ounces whole-grain crackers | 1/2 cup grapes (optional),"Fill a small, lidded container with Tzatziki and close the lid. In the main compartment of a lunch container, place the cucumber slices, rolled up turkey, cheese, and peeled hard-boiled egg. If there’s room, place any other veggies, like the cherry tomatoes in this compartment or in a separate compartment. Store the crackers in a separate compartment or container so they don’t absorb the moisture from the other ingredients and get soggy. Pack any fruit, like grapes (shown), in another compartment or container. Close the lid to the main bento container. Refrigerate up to a day ahead.",5 minutes,https://www.momables.com/tzatziki-dipping-bento/
Turkey Bacon Bento,2 ounces deli turkey (rolled up) | 1 slice bacon (cooked and chopped) | 2 tablespoons hummus | 1 cup sliced veggies (your favorite),"Roll up the turkey slices and slice into bite sized pieces. Place them inside one of the compartments of the bento box, away from dry ingredients, like the pita chips, to prevent them from getting soggy. Place the pita chips in the lunch container. Fill a small, lidded container with the chopped bacon and the hummus inside another small, lidded container. Put everything inside the lunch box. Pack sliced veggies, like cucumbers, in another compartment. Assemble this lunch a day ahead and store in the refrigerator until ready to send it to school in a lunch bag.",5 minutes,https://www.momables.com/turkey-and-bacon-bento/
PB&amp;J Grilled Cheese,2 slices sandwich bread (your favorite) | 2 tablespoons peanut butter (your favorite) | 1 1/2 tablespoons jelly (your favorite) | 1 1/2 ounces shredded cheddar (white or yellow) | Butter or spray (for grilling),"Spread the peanut butter one slice of bread and the jelly (or jam) on the other slice. Sprinkle the shredded cheese over the jelly side, close the sandwich with the peanut butter side. Lightly butter one side of the bread or spray it with oil to create a crispy and golden crust. Heat a medium cast iron or non-stick pan over medium heat. Once hot, place the sandwich buttered-side down, reduce the heat to medium-low, and grill the sandwich for about 2 minutes. Once the bottom side is nice and golden brown, spread butter on the top side (or spray it), flip it, and grill it for an additional 2 minutes, until the cheese has melted and both sides are nicely golden. Remove from the pan and enjoy immediately. Pack this sandwich for school by allowing it to cool down to room temperature completely, about 10 minutes, before placing it inside a lunch container.",5 minutes,https://www.momables.com/peanut-butter-jelly-grilled-cheese/
Cheese Snack Crackers,2 cups Cheddar cheese (grated extra-sharp) | 1/4 cup butter (softened and cut into pieces) | 1 cup flour (plus more for dusting) | 1/2 teaspoon salt | 2-3 tablespoons milk,"Preheat the oven to 375˚F, and line a baking sheet with parchment paper. Place the cheese, butter, flour, and salt into a food processor. Pulse, for 5 seconds at a time, about five or six times, until the dough becomes coarse crumbs. Slowly add the milk, 1 tablespoon at a time, with the food processor on, until the dough becomes a ball. Divide the dough into two balls, and refrigerate for 15 minutes. Remove one dough ball from the refrigerator, and roll it on a floured board with a floured rolling pin until it is about ⅛ inch thick. Cut the dough into 1-inch squares with a sharp knife or pizza cutter. You can put a bit of flour on the blade of the knife to keep it from sticking. Use a toothpick or skewer to poke a hole in the center of each cracker. Place the crackers at least ¼ inch apart on the baking sheet. Repeat the process with a second ball of dough. Bake for 12 to 15 minutes, with the rack placed in the middle of your oven, until the edges are just starting to brown. They might puff up too. If you are baking two pans at the same time, swap/rotate the pans halfway through. Place the baking sheet on a rack, and let the crackers cool completely. Eat or store in a covered container for up to 3 days.",40 minutes,https://www.momables.com/homemade-cheese-crackers/
Chocolate Coconut Granola,4 cups rolled oats | 1 cup shredded coconut | 1/2 cup flaxseeds | 1 cup chopped nuts or shelled seeds (optional) | 1/2 cup cocoa powder | 1/3 cup melted coconut oil | 1/2 teaspoon vanilla extract | 1/3 cup maple syrup | 1/4 cup brown sugar | 1/4 cup mini chocolate chips,"Preheat the oven to 325F. Grease a large baking sheet with a little coconut oil. In a large bowl, stir together the oats, coconut, flaxseeds, and nuts (if using). In a medium bowl, whisk together the cocoa, oil, vanilla, maple syrup, and brown sugar until smooth. Pour the chocolate mixture over the oat mixture in the large bowl, and stir until all the oats are coated. Distribute the mixture evenly into the bottom of the prepared baking sheet, and bake for 15 minutes, checking often to ensure no burning. Remove from the oven, then stir, and bake for another 10 to 15 minutes. Remove from the oven again, and allow the granola to cool completely in the pan without stirring. Once it's cooled completely, add in the mini chocolate chips. Store in an airtight container.",25 minutes,https://www.momables.com/chocolate-coconut-granola-recipe/
Salsa Verde Chicken Pasta,2 cups chicken broth | 1/2 cup salsa verde | 1 cup half and half (or whole milk) | 12 ounces pasta | 1/2 teaspoon salt | 1/2 teaspoon black pepper | 2 cups rotisserie chicken | 1 cup shredded cheese (Monterrey Jack or Pepper Jack),"In a large skillet, over medium-high heat, add the chicken broth, salsa verde, half and half, pasta, salt, and black pepper. Stir to combine and bring the mixture to a boil.  Cover with a lid, reduce the heat to low, and simmer for 15 minutes.  Remove the skillet from the heat, and stir in the shredded chicken and 1 cup of cheese until the mixture is creamy. Add the remaining cheese over the pasta and cover the skillet with the lid for 2 minutes to melt the cheese.  To pack for lunch, preheat the thermos container and fill it with about 1 1/2 cups of salsa verde pasta. Close the thermos container and pack it into a lunch bag with your choice of snacks. Include an ice pack to keep the other ingredients chilled. ",23 minutes,https://www.momables.com/salsa-verde-chicken-pasta/
Easy Reuben Pinwheels,1 teaspoon mustard or Thousand Island Dressing | 1  large flour tortilla | 2 ounces sliced corned beef or roast beef | 1- ounce shredded Swiss cheese | 2 tablespoons sauerkraut | Fresh berries,"Spread the mustard or dressing over the surface of the tortilla. Layer the tortilla with slices of corned beef, shredded cheese, and sauerkraut. Starting at one end, tightly roll the tortilla into a roll. Wrap the entire roll with plastic wrap and refrigerate. If making this the morning of, skip this step and proceed with the recipe. When you're ready to pack, remove the plastic wrap and cut the roll into 1-inch pinwheels. Add the pinwheels to a compartmentalized lunch container, keeping them separate from the fruit and additional snacks. Pack the lunch container into a lunch bag with an ice pack.",8 minutes,https://www.momables.com/reuben-pinwheels/
Spinach Egg Cups for School,6  eggs | 3 tablespoons milk | 1/2 cup chopped spinach | 1 cup shredded cheese | 4-6  egg cups | Fruit &amp; veggies | Lunch sides,"Preheat the oven to 350F and grease a 24-count mini muffin pan. See the note below regarding cooking time if using a regular muffin pan. In a large bowl, whisk the eggs and milk. Add in the chopped spinach and shredded cheese. Mix to combine all ingredients. Distribute the egg mixture evenly into the muffin pan cups, filling them about 3/4 of the way up. Bake in the preheated oven for 15-18 minutes. Remove the pan from the oven and let them cool in the pan before carefully removing them with a small knife or small spatula. Once cooled, refrigerate the egg cups in an airtight container or zip bag for up to 3 days. To enjoy these at room temperature, place 4 to 6 egg cups inside the main compartment of a lunch container. To eat warm, heat the egg cups in the microwave for 1 minute, stopping the microwave half way through to flip them over. Immediately transfer them inside a thermos container and close the lid. Finish packing this lunch by adding fruit, veggies, and any other sides inside a bento box. Pack everything inside a lunch bag.",23 minutes,https://www.momables.com/spinach-egg-cups/
Protein &amp; Fruit Bento Box,1  apple (sliced) | 1 handful of seedless grapes | 2-4 ounces rolled deli turkey | 1- ounce pretzel chips or whole-grain crackers | 1- ounce cheese crisps or cubed cheese,"Wash the grapes and slice the apples. Cut each roll of turkey in half. Place the grapes, apples, and turkey inside the lunch container. Pack the pretzel chips and cheese crisps or cubes into separate compartments to keep them dry. Close the lunch container and pack it into a lunch bag with an ice pack.",5 minutes,https://www.momables.com/fruit-bento-box/
